user,role,business_unit,department,team
AJF0370,ITAdmin,1,6 - Security,3 - ElectronicSecurity
OKC0107,TestEngineer,1,3 - Engineering,5 - TestAndEvalualtion
OCS0865,Salesman,1,2 - Sales,5 - RegionalSales
UJC0737,Salesman,1,2 - Sales,4 - RegionalSales
MCF0327,Salesman,1,2 - Sales,1 - RegionalSales
SGS0268,SystemsEngineer,1,3 - Engineering,4 - SystemsEngineering
BNG0237,SoftwareEngineer,1,2 - SoftwareManagement,1 - Software
OSH0655,Technician,1,3 - FieldService,3 - RegionalFieldService
CSB0080,AdministrativeAssistant,1,3 - Engineering,1 - MechanicalEngineering
ERH0449,ProductionLineWorker,1,3 - Assembly,2 - AssemblyDept
EGK0893,Technician,1,3 - FieldService,5 - RegionalFieldService
ESA0642,Technician,1,3 - FieldService,3 - RegionalFieldService
CRK0916,Physicist,1,1 - Research,6 - Lab
BBH0810,ComputerProgrammer,1,2 - SoftwareManagement,5 - Software
JRF0835,ProductionLineWorker,1,3 - Assembly,5 - AssemblyDept
SJC0333,Technician,1,3 - FieldService,1 - RegionalFieldService
HCS0003,VicePresident,1,,
EMB0531,Technician,1,3 - FieldService,2 - RegionalFieldService
JIM0095,AdministrativeAssistant,1,3 - Engineering,4 - SystemsEngineering
KJS0618,Salesman,1,2 - Sales,3 - RegionalSales
EBC0390,Scientist,1,1 - Research,2 - Lab
WGS0516,Technician,1,3 - FieldService,2 - RegionalFieldService
NGF0157,FinancialAnalyst,1,3 - FinancialPlanning,
KAT0489,Salesman,1,2 - Sales,2 - RegionalSales
CCH0685,ComputerScientist,1,2 - SoftwareManagement,4 - Software
DMM0623,Salesman,1,2 - Sales,3 - RegionalSales
SAH0599,ProductionLineWorker,1,3 - Assembly,3 - AssemblyDept
CPG0322,Salesman,1,2 - Sales,1 - RegionalSales
OBH0499,Salesman,1,2 - Sales,2 - RegionalSales
SNS0129,AdministrativeAssistant,1,3 - Assembly,
PKB0429,TestEngineer,1,3 - Engineering,7 - TestAndEvalualtion
NAH0503,Salesman,1,2 - Sales,2 - RegionalSales
FRB0023,HumanResourceSpecialist,1,2 - EmployeeRelations,
CWB0065,ComputerScientist,1,2 - SoftwareManagement,
ATP0662,Manager,1,2 - SoftwareManagement,4 - Software
DPM0423,HardwareEngineer,1,3 - Engineering,6 - SystemsEngineering
WKF0012,Director,1,3 - Training,
AKF0709,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
CJF0802,Mathematician,1,1 - Research,5 - Lab
IRM0931,ComputerProgrammer,1,2 - SoftwareManagement,6 - Software
FQA0854,Salesman,1,2 - Sales,5 - RegionalSales
GRC0145,AdministrativeAssistant,1,,
KKS0119,Manager,1,4 - QualityControl,
DBB0384,Scientist,1,1 - Research,2 - Lab
TRK0914,Mathematician,1,1 - Research,6 - Lab
BSA0431,TestEngineer,1,3 - Engineering,7 - TestAndEvalualtion
CFG0959,ProductionLineWorker,1,3 - Assembly,6 - AssemblyDept
VMJ0147,Manager,1,2 - Payroll,
SAT0194,PurchasingClerk,1,1 - Purchasing,
DZC0228,Physicist,1,1 - Research,1 - Lab
TEB0251,MechanicalEngineer,1,3 - Engineering,1 - MechanicalEngineering
MNR0829,ProductionLineWorker,1,3 - Assembly,5 - AssemblyDept
DOP0562,ComputerProgrammer,1,2 - SoftwareManagement,3 - Software
UAD0771,Technician,1,3 - FieldService,4 - RegionalFieldService
ALD0544,Mathematician,1,1 - Research,3 - Lab
LCB0664,Manager,1,2 - Sales,4 - RegionalSales
HCL0113,TestEngineer,1,3 - Engineering,5 - TestAndEvalualtion
TSB0437,Technician,1,3 - Engineering,7 - TestAndEvalualtion
EZH0736,Salesman,1,2 - Sales,4 - RegionalSales
JCG0316,Salesman,1,2 - Sales,1 - RegionalSales
MSG0839,ProductionLineWorker,1,3 - Assembly,5 - AssemblyDept
LJJ0905,Technician,1,3 - FieldService,5 - RegionalFieldService
HCM0267,MaterialsEngineer,1,3 - Engineering,3 - MaterialsEngineering
MTB0620,Salesman,1,2 - Sales,3 - RegionalSales
CCH0182,Technician,1,3 - FieldService,1 - RegionalFieldService
CAM0681,ComputerScientist,1,2 - SoftwareManagement,4 - Software
LBH0942,SoftwareEngineer,1,2 - SoftwareManagement,6 - Software
CAB0388,Scientist,1,1 - Research,2 - Lab
WGR0833,ProductionLineWorker,1,3 - Assembly,5 - AssemblyDept
GQF0659,Technician,1,3 - FieldService,3 - RegionalFieldService
CSP0197,PurchasingClerk,1,1 - Purchasing,
OMM0944,ProductionLineWorker,1,3 - Assembly,6 - AssemblyDept
IMP0530,Technician,1,3 - FieldService,2 - RegionalFieldService
ORB0473,ProductionLineWorker,1,3 - Assembly,2 - AssemblyDept
JML0909,Technician,1,3 - FieldService,5 - RegionalFieldService
NDM0417,ComputerScientist,1,3 - Engineering,6 - SystemsEngineering
FRL0511,Technician,1,3 - FieldService,2 - RegionalFieldService
LAP0338,Technician,1,3 - FieldService,1 - RegionalFieldService
HCV0478,Salesman,1,2 - Sales,2 - RegionalSales
KJA0152,AdministrativeAssistant,1,2 - Payroll,
BSS0463,ProductionLineWorker,1,3 - Assembly,2 - AssemblyDept
AIM0627,Salesman,1,2 - Sales,3 - RegionalSales
RAH0440,ElectricalEngineer,1,3 - Engineering,7 - TestAndEvalualtion
XHG0902,Technician,1,3 - FieldService,5 - RegionalFieldService
TDJ0998,MechanicalEngineer,1,2 - ManufacturingEngineering,
JPA0667,Scientist,1,1 - Research,4 - Lab
EHR0096,ComputerScientist,1,3 - Engineering,4 - SystemsEngineering
SJW0451,ProductionLineWorker,1,3 - Assembly,2 - AssemblyDept
CNB0900,Technician,1,3 - FieldService,5 - RegionalFieldService
CTA0020,HumanResourceSpecialist,1,1 - Personnel,
SRS0231,Scientist,1,1 - Research,1 - Lab
HWH0646,Technician,1,3 - FieldService,3 - RegionalFieldService
CCM0855,Salesman,1,2 - Sales,5 - RegionalSales
SED0886,Technician,1,3 - FieldService,5 - RegionalFieldService
LBC0356,ITAdmin,1,6 - Security,3 - ElectronicSecurity
CKH0144,Engineer,1,4 - QualityControl,
MVF0594,ProductionLineWorker,1,3 - Assembly,3 - AssemblyDept
ATF0274,HardwareEngineer,1,3 - Engineering,4 - SystemsEngineering
KTG0091,MaterialsEngineer,1,3 - Engineering,3 - MaterialsEngineering
ACC0042,ITAdmin,1,6 - Security,2 - ElectronicSecurity
AKW0167,AdministrativeAssistant,1,2 - Sales,1 - RegionalSales
KPR0497,Salesman,1,2 - Sales,2 - RegionalSales
ABN0239,SoftwareEngineer,1,2 - SoftwareManagement,1 - Software
CKB0482,Salesman,1,2 - Sales,2 - RegionalSales
AMH0464,ProductionLineWorker,1,3 - Assembly,2 - AssemblyDept
SGG0787,Manager,1,2 - SoftwareManagement,5 - Software
SIJ0661,LabManager,1,1 - Research,4 - Lab
BTW0005,VicePresident,1,,
RLB0719,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
WDO0870,Salesman,1,2 - Sales,5 - RegionalSales
KCB0815,SoftwareEngineer,1,2 - SoftwareManagement,5 - Software
VCY0751,Salesman,1,2 - Sales,4 - RegionalSales
BAJ0654,Technician,1,3 - FieldService,3 - RegionalFieldService
MKL0941,SoftwareEngineer,1,2 - SoftwareManagement,6 - Software
DBS0235,Scientist,1,1 - Research,1 - Lab
JJH0613,Salesman,1,2 - Sales,3 - RegionalSales
UFK0208,SecurityGuard,1,6 - Security,1 - BuildingSecurity
BLB0114,MechanicalEngineer,1,3 - Engineering,5 - TestAndEvalualtion
CKD0680,Scientist,1,1 - Research,4 - Lab
MKG0711,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
IIL0513,Technician,1,3 - FieldService,2 - RegionalFieldService
TSM0363,ITAdmin,1,6 - Security,3 - ElectronicSecurity
PBP0002,AdministrativeAssistant,1,,
GTD0898,Technician,1,3 - FieldService,5 - RegionalFieldService
CJH0702,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
DMK0257,ElectricalEngineer,1,3 - Engineering,2 - ElectricalEngineering
WIQ0567,ComputerProgrammer,1,2 - SoftwareManagement,3 - Software
PTH0830,ProductionLineWorker,1,3 - Assembly,5 - AssemblyDept
NCO0666,Scientist,1,1 - Research,4 - Lab
MHG0733,Salesman,1,2 - Sales,4 - RegionalSales
RAW0915,Scientist,1,1 - Research,6 - Lab
HAM0985,TechnicalTrainer,1,3 - Training,
SAB0781,Technician,1,3 - FieldService,4 - RegionalFieldService
IBM0671,Physicist,1,1 - Research,4 - Lab
YDN0198,AdministrativeAssistant,1,2 - Pricing,
GAF0060,Mathematician,1,1 - Research,1 - Lab
AMM0014,Director,1,5 - Medical,
AMV0036,SecurityGuard,1,6 - Security,1 - BuildingSecurity
MOP0763,Technician,1,3 - FieldService,4 - RegionalFieldService
CBG0490,Salesman,1,2 - Sales,2 - RegionalSales
CNE0352,ChiefEngineer,1,3 - Engineering,7 - TestAndEvalualtion
GQP0743,Salesman,1,2 - Sales,4 - RegionalSales
PTH0552,Mathematician,1,1 - Research,3 - Lab
GLR0975,HumanResourceSpecialist,1,1 - Personnel,
BKW0374,ITAdmin,1,6 - Security,3 - ElectronicSecurity
AIP0982,ManagementTrainer,1,3 - Training,
KRV0372,ITAdmin,1,6 - Security,3 - ElectronicSecurity
JBD0616,Salesman,1,2 - Sales,3 - RegionalSales
RUM0880,Salesman,1,2 - Sales,5 - RegionalSales
SMY0792,Mathematician,1,1 - Research,5 - Lab
HOB0994,IndustrialEngineer,1,1 - IndustrialEngineering,
KJJ0293,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
JXH0493,Salesman,1,2 - Sales,2 - RegionalSales
JPW0741,Salesman,1,2 - Sales,4 - RegionalSales
NMG0766,Technician,1,3 - FieldService,4 - RegionalFieldService
HMW0713,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
MAH0864,Salesman,1,2 - Sales,5 - RegionalSales
QNF0205,Attorney,1,3 - Contracts,
KKW0879,Salesman,1,2 - Sales,5 - RegionalSales
RVF0201,AdministrativeAssistant,1,3 - Contracts,
TMA0069,SoftwareEngineer,1,2 - SoftwareManagement,1 - Software
SBN0866,Salesman,1,2 - Sales,5 - RegionalSales
ZJE0857,Salesman,1,2 - Sales,5 - RegionalSales
HPM0986,InstructionalCoordinator,1,3 - Training,
CJP0952,ProductionLineWorker,1,3 - Assembly,6 - AssemblyDept
CWR0502,Salesman,1,2 - Sales,2 - RegionalSales
SLB0049,Director,1,1 - Research,
IDO0176,Salesman,1,2 - Sales,1 - RegionalSales
AGB0186,Technician,1,3 - FieldService,1 - RegionalFieldService
RJB0088,ElectricalEngineer,1,3 - Engineering,2 - ElectricalEngineering
OCB0805,Mathematician,1,1 - Research,5 - Lab
ETR0428,TestEngineer,1,3 - Engineering,7 - TestAndEvalualtion
IKP0472,ProductionLineWorker,1,3 - Assembly,2 - AssemblyDept
LHB0967,ProductionLineWorker,1,3 - Assembly,6 - AssemblyDept
CCM0467,ProductionLineWorker,1,3 - Assembly,2 - AssemblyDept
GKO0078,ChiefEngineer,1,3 - Engineering,4 - SystemsEngineering
GNS0178,FieldServiceEngineer,1,3 - FieldService,1 - RegionalFieldService
SSS0345,Technician,1,3 - FieldService,1 - RegionalFieldService
ALH0402,SoftwareEngineer,1,2 - SoftwareManagement,2 - Software
AKK0329,Technician,1,3 - FieldService,1 - RegionalFieldService
EWH0191,Manager,1,2 - Pricing,
TVS0050,Director,1,2 - SoftwareManagement,
TUC0632,Technician,1,3 - FieldService,3 - RegionalFieldService
SKG0759,Technician,1,3 - FieldService,4 - RegionalFieldService
IMG0320,Salesman,1,2 - Sales,1 - RegionalSales
BBG0325,Salesman,1,2 - Sales,1 - RegionalSales
CTW0500,Salesman,1,2 - Sales,2 - RegionalSales
SBN0495,Salesman,1,2 - Sales,2 - RegionalSales
ELH0960,ProductionLineWorker,1,3 - Assembly,6 - AssemblyDept
TSG0906,Technician,1,3 - FieldService,5 - RegionalFieldService
JMK0099,SystemsEngineer,1,3 - Engineering,4 - SystemsEngineering
MKP0861,Salesman,1,2 - Sales,5 - RegionalSales
HIW0536,LabManager,1,1 - Research,3 - Lab
CTR0697,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
BHC0665,FieldServiceEngineer,1,3 - FieldService,4 - RegionalFieldService
WIF0691,ComputerScientist,1,2 - SoftwareManagement,4 - Software
HWM0342,Technician,1,3 - FieldService,1 - RegionalFieldService
MNC0717,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
ARB0881,Technician,1,3 - FieldService,5 - RegionalFieldService
AHC0142,Engineer,1,4 - QualityControl,
ZFM0468,ProductionLineWorker,1,3 - Assembly,2 - AssemblyDept
DIW0118,Manager,1,3 - Assembly,
USH0199,Statistician,1,2 - Pricing,
MAD0753,Salesman,1,2 - Sales,4 - RegionalSales
KDS0349,LabManager,1,1 - Research,2 - Lab
LJB0826,ProductionLineWorker,1,3 - Assembly,5 - AssemblyDept
FKK0055,Scientist,1,1 - Research,
FPC0954,ProductionLineWorker,1,3 - Assembly,6 - AssemblyDept
CXC0336,Technician,1,3 - FieldService,1 - RegionalFieldService
FDE0117,Manager,1,2 - ManufacturingEngineering,
FUM0015,Director,1,6 - Security,
NAB0801,Mathematician,1,1 - Research,5 - Lab
GJT0386,Mathematician,1,1 - Research,2 - Lab
KAC0124,ElectricalEngineer,1,2 - ManufacturingEngineering,
CCR0863,Salesman,1,2 - Sales,5 - RegionalSales
TTD1000,MechanicalEngineer,1,2 - ManufacturingEngineering,
OKB0439,MechanicalEngineer,1,3 - Engineering,7 - TestAndEvalualtion
XAA0104,HardwareEngineer,1,3 - Engineering,4 - SystemsEngineering
RFP0380,Mathematician,1,1 - Research,2 - Lab
JTS0389,Scientist,1,1 - Research,2 - Lab
CMS0454,ProductionLineWorker,1,3 - Assembly,2 - AssemblyDept
JKB0126,ElectricalEngineer,1,2 - ManufacturingEngineering,
LAM0911,LabManager,1,1 - Research,6 - Lab
GCC0744,Salesman,1,2 - Sales,4 - RegionalSales
CLH0703,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
KMW0545,Physicist,1,1 - Research,3 - Lab
NHH0185,Technician,1,3 - FieldService,1 - RegionalFieldService
NCE0097,SystemsEngineer,1,3 - Engineering,4 - SystemsEngineering
AJC0840,ProductionLineWorker,1,3 - Assembly,5 - AssemblyDept
GCC0945,ProductionLineWorker,1,3 - Assembly,6 - AssemblyDept
NAB0903,Technician,1,3 - FieldService,5 - RegionalFieldService
AOS0987,HealthSafetyEngineer,1,4 - Safety,
JAD0609,Salesman,1,2 - Sales,3 - RegionalSales
AMW0392,ComputerScientist,1,2 - SoftwareManagement,2 - Software
FIR0920,Scientist,1,1 - Research,6 - Lab
RNP0211,SecurityGuard,1,6 - Security,1 - BuildingSecurity
RHY0079,ChiefEngineer,1,3 - Engineering,5 - TestAndEvalualtion
CLS0296,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
JSA0775,Technician,1,3 - FieldService,4 - RegionalFieldService
RDM0115,AdministrativeAssistant,1,,
JKM0303,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
IJM0139,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
SVL0940,SoftwareEngineer,1,2 - SoftwareManagement,6 - Software
LDG0459,ProductionLineWorker,1,3 - Assembly,2 - AssemblyDept
ROB0272,SystemsEngineer,1,3 - Engineering,4 - SystemsEngineering
LNS0989,NursePractitioner,1,5 - Medical,
CNM0800,Scientist,1,1 - Research,5 - Lab
HGN0287,MechanicalEngineer,1,3 - Engineering,5 - TestAndEvalualtion
KMS0657,Technician,1,3 - FieldService,3 - RegionalFieldService
BMG0917,Physicist,1,1 - Research,6 - Lab
HVB0037,SecurityGuard,1,6 - Security,1 - BuildingSecurity
PNH0761,Technician,1,3 - FieldService,4 - RegionalFieldService
JLW0053,LabManager,1,1 - Research,1 - Lab
JNA0559,SoftwareEngineer,1,2 - SoftwareManagement,3 - Software
OYM0026,HealthSafetyEngineer,1,4 - Safety,
NIH0969,ProductionLineWorker,1,3 - Assembly,6 - AssemblyDept
RCC0617,Salesman,1,2 - Sales,3 - RegionalSales
GJD0298,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
MLL0598,ProductionLineWorker,1,3 - Assembly,3 - AssemblyDept
DSM0591,ProductionLineWorker,1,3 - Assembly,3 - AssemblyDept
SBN0971,ProductionLineWorker,1,3 - Assembly,6 - AssemblyDept
CCW0524,Technician,1,3 - FieldService,2 - RegionalFieldService
IWM0816,SoftwareEngineer,1,2 - SoftwareManagement,5 - Software
JOL0024,AdministrativeAssistant,1,3 - Training,
ENL0100,ElectricalEngineer,1,3 - Engineering,4 - SystemsEngineering
TIW0299,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
ZSK0258,ElectricalEngineer,1,3 - Engineering,2 - ElectricalEngineering
CGF0337,Technician,1,3 - FieldService,1 - RegionalFieldService
EHB0420,ElectricalEngineer,1,3 - Engineering,6 - SystemsEngineering
RGN0408,SystemsEngineer,1,3 - Engineering,6 - SystemsEngineering
FHO0630,Salesman,1,2 - Sales,3 - RegionalSales
JKJ0698,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
SCF0608,Salesman,1,2 - Sales,3 - RegionalSales
BVC0790,FieldServiceEngineer,1,3 - FieldService,5 - RegionalFieldService
NRF0137,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
HDD0789,Manager,1,2 - Sales,5 - RegionalSales
IEB0153,Accountant,1,2 - Payroll,
ICH0294,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
ZSL0305,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
AJP0723,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
GDF0704,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
TJD0996,ElectricalEngineer,1,2 - ManufacturingEngineering,
OMS0101,ComputerScientist,1,3 - Engineering,4 - SystemsEngineering
BCM0653,Technician,1,3 - FieldService,3 - RegionalFieldService
BDB0453,ProductionLineWorker,1,3 - Assembly,2 - AssemblyDept
NCK0421,ComputerScientist,1,3 - Engineering,6 - SystemsEngineering
MFV0897,Technician,1,3 - FieldService,5 - RegionalFieldService
MAH0149,AdministrativeAssistant,1,1 - Accounting,
ECR0822,ProductionLineWorker,1,3 - Assembly,5 - AssemblyDept
POB0343,Technician,1,3 - FieldService,1 - RegionalFieldService
IRT0491,Salesman,1,2 - Sales,2 - RegionalSales
HKI0171,Salesman,1,2 - Sales,1 - RegionalSales
IAR0694,ComputerScientist,1,2 - SoftwareManagement,4 - Software
CMM0487,Salesman,1,2 - Sales,2 - RegionalSales
AGB0643,Technician,1,3 - FieldService,3 - RegionalFieldService
PID0426,TestEngineer,1,3 - Engineering,7 - TestAndEvalualtion
HLM0933,SoftwareEngineer,1,2 - SoftwareManagement,6 - Software
KRL0062,AdministrativeAssistant,1,2 - SoftwareManagement,
JDB0169,Salesman,1,2 - Sales,1 - RegionalSales
ZJS0269,HardwareEngineer,1,3 - Engineering,4 - SystemsEngineering
CJM0521,Technician,1,3 - FieldService,2 - RegionalFieldService
JRS0362,ITAdmin,1,6 - Security,3 - ElectronicSecurity
WXH0872,Salesman,1,2 - Sales,5 - RegionalSales
MHA0798,Mathematician,1,1 - Research,5 - Lab
JZD0888,Technician,1,3 - FieldService,5 - RegionalFieldService
HDD0806,SoftwareEngineer,1,2 - SoftwareManagement,5 - Software
BSB0990,SoftwareEngineer,1,2 - SoftwareManagement,
ALC0788,AssemblySupervisor,1,3 - Assembly,5 - AssemblyDept
JCR0921,Physicist,1,1 - Research,6 - Lab
RRA0938,SoftwareEngineer,1,2 - SoftwareManagement,6 - Software
SHW0578,ProductionLineWorker,1,3 - Assembly,3 - AssemblyDept
GCL0016,AdministrativeAssistant,1,1 - Personnel,
